ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
10,3,7,0,13.500000,47,9.238134e-15,:F.7S
4,3,5,3,13.061780,63,5.849791e-12,4F.5F
2,1,1,0,10.204389,96,6.387445e-17,2P.1S
8,3,4,3,13.393320,50,8.482057e-16,8F.4F
3,0,6,1,13.228975,58,5.538960e-14,3S.6P
9,6,3,0,13.500000,47,6.171824e-17,9I.3S
10,7,2,0,13.500000,47,2.369599e-18,:J.2S
8,6,9,0,13.500000,47,1.578800e-13,8I.9S
9,7,8,6,13.500000,47,5.454951e-12,9J.8I
6,3,6,0,13.228975,58,3.945599e-11,6F.6S
10,6,9,6,13.500000,47,4.799685e-13,:I.9I
8,7,4,1,13.393320,50,9.319342e-16,8J.4P
9,3,4,0,13.500000,47,5.471753e-16,9F.4S
8,3,8,7,13.393320,50,4.550460e-10,8F.8J
10,3,8,1,13.500000,47,1.335175e-13,:F.8P
7,3,6,3,13.328199,55,3.959600e-14,7F.6F
10,7,8,3,13.500000,47,8.739683e-14,:J.8F
9,6,9,3,13.500000,47,1.045906e-12,9I.9F
3,1,4,1,12.755506,70,1.658048e-11,3P.4P
2,1,8,6,13.393320,50,2.400403e-14,2P.8I
1,0,9,6,13.500000,47,5.435349e-19,1S.9I
3,2,4,0,12.755506,70,1.927155e-11,3D.4S
3,0,9,0,13.500000,47,5.908597e-16,3S.9S
2,0,3,0,12.094089,78,9.924203e-12,2S.3S
8,6,6,1,13.393320,50,1.693891e-14,8I.6P
4,3,9,7,13.500000,47,3.055109e-15,4F.9J
5,3,5,0,13.061780,63,8.067615e-10,5F.5S
7,3,3,1,13.328199,55,3.147518e-16,7F.3P
9,7,1,0,13.500000,47,4.572862e-20,9J.1S
6,3,9,1,13.500000,47,2.836687e-14,6F.9P
6,3,3,1,13.228975,58,6.233430e-16,6F.3P
7,3,9,1,13.500000,47,5.216927e-14,7F.9P
8,7,1,0,13.393320,50,6.860693e-20,8J.1S
10,7,7,1,13.500000,47,1.968039e-14,:J.7P
5,3,9,7,13.500000,47,8.846094e-15,5F.9J
9,6,6,1,13.500000,47,9.884999e-15,9I.6P
4,3,5,0,13.061780,63,4.172422e-12,4F.5S
2,0,9,0,13.500000,47,1.294291e-16,2S.9S
3,0,3,0,12.094089,78,4.763281e-09,3S.3S
10,3,7,3,13.500000,47,8.952505e-15,:F.7F
1,0,5,1,13.061780,63,6.222229e-15,1S.5P
3,2,8,7,13.393320,50,4.833288e-13,3D.8J
2,1,4,1,12.755506,70,4.488854e-12,2P.4P
3,1,8,6,13.393320,50,2.426725e-13,3P.8I
8,6,9,3,13.500000,47,1.511873e-13,8I.9F
6,3,6,3,13.228975,58,7.583166e-10,6F.6F
7,6,1,0,13.328199,55,8.938503e-20,7I.1S
10,3,2,1,13.500000,47,7.636372e-18,:F.2P
8,3,4,0,13.393320,50,7.401148e-16,8F.4S
9,3,8,7,13.500000,47,3.920396e-14,9F.8J
7,3,6,0,13.328199,55,9.369747e-14,7F.6S
8,7,8,6,13.393320,50,4.642869e-07,8J.8I
10,6,5,1,13.500000,47,1.644606e-15,:I.5P
9,7,4,1,13.500000,47,5.208526e-16,9J.4P
8,6,3,0,13.393320,50,1.157917e-16,8I.3S
10,7,8,0,13.500000,47,4.794084e-14,:J.8S
9,6,9,0,13.500000,47,6.348242e-13,9I.9S
2,0,6,1,13.228975,58,1.322574e-14,2S.6P
9,3,4,3,13.500000,47,6.485455e-16,9F.4F
3,1,1,0,12.094089,78,9.966207e-18,3P.1S
3,2,7,6,13.328199,55,1.901952e-12,3D.7I
5,3,5,3,13.061780,63,3.606764e-09,5F.5F
3,2,4,3,12.755506,70,1.256767e-11,3D.4F
7,6,8,6,13.393320,50,2.003882e-11,7I.8I
9,3,7,6,13.500000,47,1.411343e-14,9F.7I
3,0,9,3,13.500000,47,3.057909e-16,3S.9F
9,3,8,2,13.500000,47,1.631165e-12,9F.8D
7,6,7,2,13.328199,55,8.851694e-10,7I.7D
6,3,6,5,13.228975,58,6.356642e-11,6F.6H
8,6,9,5,13.500000,47,1.691931e-13,8I.9H
10,3,7,5,13.500000,47,8.837693e-15,:F.7H
3,2,8,2,13.393320,50,4.460851e-13,3D.8D
3,1,8,4,13.393320,50,3.167120e-13,3P.8G
3,0,5,2,13.061780,63,4.480453e-13,3S.5D
5,3,9,2,13.500000,47,1.625564e-14,5F.9D
4,3,3,2,12.755506,70,1.514673e-14,4F.3D
6,3,5,4,13.228975,58,1.879830e-14,6F.5G
8,7,7,2,13.393320,50,6.731880e-14,8J.7D
9,3,7,4,13.500000,47,1.675129e-14,9F.7G
3,0,9,5,13.500000,47,1.888791e-16,3S.9H
7,6,8,4,13.393320,50,1.662248e-11,7I.8G
6,3,9,8,13.500000,47,2.252548e-14,6F.9K
3,1,7,2,13.328199,55,1.528114e-12,3P.7D
3,2,7,4,13.328199,55,2.440727e-12,3D.7G
8,6,5,2,13.393320,50,3.727177e-15,8I.5D
5,3,6,4,13.228975,58,1.242766e-12,5F.6G
8,7,8,4,13.393320,50,9.338944e-10,8J.8G
7,3,6,4,13.328199,55,2.901093e-14,7F.6G
10,6,5,2,13.500000,47,1.526994e-15,:I.5D
9,7,4,2,13.500000,47,4.978903e-16,9J.4D
10,7,8,4,13.500000,47,7.263934e-14,:J.8G
9,6,9,4,13.500000,47,3.780382e-12,9I.9G
2,0,6,2,13.228975,58,1.241365e-14,2S.6D
4,3,9,8,13.500000,47,1.303532e-15,4F.9K
2,1,8,5,13.393320,50,2.979501e-14,2P.8H
1,0,9,5,13.500000,47,6.496656e-19,1S.9H
6,3,3,2,13.228975,58,6.838291e-16,6F.3D
7,3,9,2,13.500000,47,4.536458e-14,7F.9D
10,7,7,2,13.500000,47,1.856308e-14,:J.7D
9,6,6,2,13.500000,47,9.588169e-15,9I.6D
4,3,5,4,13.061780,63,7.157523e-12,4F.5G
2,0,9,4,13.500000,47,3.279131e-17,2S.9G
8,3,7,5,13.393320,50,3.553559e-14,8F.7H
1,0,5,2,13.061780,63,3.833587e-15,1S.5D
2,1,4,2,12.755506,70,3.830787e-12,2P.4D
4,3,6,5,13.228975,58,9.210131e-13,4F.6H
9,7,8,5,13.500000,47,1.784340e-12,9J.8H
10,6,9,5,13.500000,47,6.720679e-12,:I.9H
9,3,7,0,13.500000,47,3.057909e-14,9F.7S
2,1,8,3,13.393320,50,6.183025e-14,2P.8F
1,0,9,3,13.500000,47,1.113393e-18,1S.9F
7,6,8,0,13.393320,50,1.132994e-11,7I.8S
7,3,5,3,13.328199,55,7.297537e-15,7F.5F
3,1,7,1,13.328199,55,1.292611e-12,3P.7P
3,2,7,0,13.328199,55,2.437086e-12,3D.7S
8,6,5,1,13.393320,50,3.584362e-15,8I.5P
10,7,8,6,13.500000,47,4.290034e-13,:J.8I
5,3,6,0,13.228975,58,6.351042e-13,5F.6S
9,6,9,6,13.500000,47,1.755497e-11,9I.9I
8,7,8,0,13.393320,50,9.798190e-10,8J.8S
10,6,3,0,13.500000,47,4.390844e-17,:I.3S
9,7,2,0,13.500000,47,2.461729e-18,9J.2S
8,3,2,1,13.393320,50,1.543796e-17,8F.2P
9,3,8,1,13.500000,47,1.145316e-12,9F.8P
7,6,7,1,13.328199,55,7.692377e-10,7I.7P
10,3,4,0,13.500000,47,2.923495e-16,:F.4S
9,7,8,3,13.500000,47,1.778460e-13,9J.8F
10,6,9,3,13.500000,47,1.416103e-12,:I.9F
4,3,6,3,13.228975,58,7.465554e-13,4F.6F
3,2,8,1,13.393320,50,8.482057e-13,3D.8P
1,0,3,0,12.094089,78,5.208526e-13,1S.3S
2,1,2,0,10.204389,96,7.636372e-09,2P.2S
3,1,8,0,13.393320,50,3.164320e-13,3P.8S
2,0,9,6,13.500000,47,1.299891e-17,2S.9I
3,0,5,1,13.061780,63,5.410147e-13,3S.5P
8,3,7,3,13.393320,50,1.005862e-13,8F.7F
10,7,1,0,13.500000,47,8.854495e-20,:J.1S
5,3,9,1,13.500000,47,1.654127e-14,5F.9P
4,3,3,1,12.755506,70,5.043310e-15,4F.3P
6,3,5,0,13.228975,58,2.759679e-14,6F.5S
7,3,9,7,13.500000,47,4.794084e-14,7F.9J
8,7,7,1,13.393320,50,6.121419e-14,8J.7P
7,3,5,0,13.328199,55,8.134822e-15,7F.5S
9,7,7,1,13.500000,47,3.704774e-14,9J.7P
6,3,9,7,13.500000,47,1.920994e-14,6F.9J
10,6,6,1,13.500000,47,5.432549e-15,:I.6P
4,3,9,1,13.500000,47,8.493258e-15,4F.9P
5,3,3,1,13.061780,63,1.154557e-15,5F.3P
3,0,9,6,13.500000,47,1.073628e-16,3S.9I
9,3,7,3,13.500000,47,1.780140e-14,9F.7F
2,0,5,1,13.061780,63,1.041705e-13,2S.5P
3,1,2,0,12.094089,78,8.339243e-16,3P.2S
7,6,8,3,13.393320,50,1.275809e-11,7I.8F
2,1,8,0,13.393320,50,5.452151e-14,2P.8S
3,2,2,1,12.094089,78,1.794981e-15,3D.2P
1,0,9,0,13.500000,47,6.258632e-18,1S.9S
5,3,6,3,13.228975,58,1.004462e-12,5F.6F
8,7,8,3,13.393320,50,9.753386e-10,8J.8F
3,2,7,3,13.328199,55,3.167120e-12,3D.7F
10,3,8,7,13.500000,47,2.107213e-14,:F.8J
9,3,2,1,13.500000,47,1.028544e-17,9F.2P
8,3,8,1,13.393320,50,3.685172e-10,8F.8P
9,7,8,0,13.500000,47,1.270208e-13,9J.8S
10,6,9,0,13.500000,47,2.853488e-13,:I.9S
8,7,2,0,13.393320,50,4.662471e-18,8J.2S
9,6,5,1,13.500000,47,2.496172e-15,9I.5P
10,7,4,1,13.500000,47,3.757980e-16,:J.4P
8,6,9,6,13.500000,47,1.834185e-13,8I.9I
4,3,6,0,13.228975,58,3.623566e-13,4F.6S
2,1,7,1,13.328199,55,3.374341e-13,2P.7P
1,0,6,1,13.228975,58,2.090411e-16,1S.6P
10,3,4,3,13.500000,47,3.536757e-16,:F.4F
6,3,5,3,13.228975,58,2.162659e-14,6F.5F
7,6,2,0,13.328199,55,9.789789e-18,7I.2S
3,1,8,3,13.393320,50,2.542097e-13,3P.8F
10,3,7,6,13.500000,47,7.781986e-15,:F.7I
8,3,7,0,13.393320,50,2.680151e-13,8F.7S
3,2,7,5,13.328199,55,2.393962e-12,3D.7H
10,3,8,2,13.500000,47,2.038046e-13,:F.8D
8,7,8,5,13.393320,50,9.201730e-10,8J.8H
5,3,6,5,13.228975,58,1.232125e-12,5F.6H
3,1,4,2,12.755506,70,1.417503e-11,3P.4D
7,6,8,5,13.393320,50,1.467348e-11,7I.8H
3,0,9,4,13.500000,47,2.512414e-16,3S.9G
9,3,7,5,13.500000,47,1.603722e-14,9F.7H
8,6,6,2,13.393320,50,1.629205e-14,8I.6D
5,3,5,4,13.061780,63,7.445952e-09,5F.5G
7,3,3,2,13.328199,55,3.511555e-16,7F.3D
6,3,9,2,13.500000,47,2.721315e-14,6F.9D
7,6,4,2,13.328199,55,1.740936e-15,7I.4D
3,1,8,5,13.393320,50,2.357558e-13,3P.8H
10,3,7,4,13.500000,47,8.557665e-15,:F.7G
5,3,9,8,13.500000,47,5.860992e-15,5F.9K
3,0,6,2,13.228975,58,4.844490e-14,3S.6D
8,6,9,4,13.500000,47,1.555557e-13,8I.9G
6,3,6,4,13.228975,58,4.301235e-09,6F.6G
8,7,4,2,13.393320,50,8.862896e-16,8J.4D
8,3,6,1,13.393320,50,1.979240e-14,8F.6P
3,0,4,3,12.755506,70,2.335996e-12,3S.4F
7,6,3,1,13.328199,55,2.144177e-16,7I.3P
3,2,9,3,13.500000,47,2.053448e-15,3D.9F
8,7,6,3,13.393320,50,2.473490e-14,8J.6F
5,3,8,3,13.393320,50,4.438449e-12,5F.8F
1,0,7,0,13.328199,55,4.959301e-15,1S.7S
2,1,6,0,13.228975,58,1.689971e-14,2P.6S
7,6,6,3,13.328199,55,5.278533e-14,7I.6F
9,3,9,3,13.500000,47,1.621364e-11,9F.9F
3,0,7,6,13.328199,55,1.996322e-13,3S.7I
10,7,5,0,13.500000,47,1.787421e-15,:J.5S
9,6,4,0,13.500000,47,5.146920e-16,9I.4S
4,3,7,1,13.328199,55,7.087516e-12,4F.7P
8,6,8,7,13.393320,50,4.024007e-07,8I.8J
10,6,8,1,13.500000,47,4.323637e-14,:I.8P
9,7,9,1,13.500000,47,1.115073e-12,9J.9P
6,3,1,0,13.228975,58,2.784601e-19,6F.1S
8,7,3,1,13.393320,50,1.058227e-16,8J.3P
9,3,3,0,13.500000,47,9.470557e-17,9F.3S
8,3,9,0,13.500000,47,1.557237e-13,8F.9S
10,3,9,6,13.500000,47,5.799386e-14,:F.9I
3,1,6,3,13.228975,58,9.450955e-14,3P.6F
8,6,4,3,13.393320,50,1.201041e-15,8I.4F
3,1,3,1,12.094089,78,4.080012e-09,3P.3P
3,2,3,0,12.094089,78,2.122895e-09,3D.3S
1,0,8,1,13.393320,50,1.521954e-15,1S.8P
2,1,9,1,13.500000,47,3.542358e-16,2P.9P
3,0,8,7,13.393320,50,7.020309e-14,3S.8J
2,0,4,0,12.755506,70,1.581600e-12,2S.4S
4,3,8,0,13.393320,50,1.746817e-12,4F.8S
8,6,7,6,13.393320,50,9.389349e-14,8I.7I
5,3,2,0,13.061780,63,5.306536e-17,5F.2S
7,3,4,1,13.328199,55,2.182541e-15,7F.4P
10,6,7,0,13.500000,47,1.519994e-14,:I.7S
9,7,6,0,13.500000,47,8.924502e-15,9J.6S
6,3,8,6,13.393320,50,8.784488e-12,6F.8I
6,3,7,2,13.328199,55,2.188981e-11,6F.7D
8,7,5,4,13.393320,50,5.536159e-15,8J.5G
10,7,3,2,13.500000,47,4.066011e-17,:J.3D
8,6,8,2,13.393320,50,4.878093e-10,8I.8D
9,3,9,5,13.500000,47,3.158719e-12,9F.9H
3,0,7,4,13.328199,55,3.335137e-13,3S.7G
7,6,6,5,13.328199,55,1.088750e-12,7I.6H
5,3,8,5,13.393320,50,4.743679e-12,5F.8H
8,7,6,5,13.393320,50,7.689577e-14,8J.6H
7,6,5,4,13.328199,55,2.181980e-14,7I.5G
3,1,9,8,13.500000,47,1.282530e-16,3P.9K
3,2,9,5,13.500000,47,1.246966e-15,3D.9H
10,3,6,2,13.500000,47,6.037410e-15,:F.6D
6,3,8,4,13.393320,50,9.266136e-12,6F.8G
8,6,7,4,13.393320,50,6.804688e-13,8I.7G
5,3,4,2,13.061780,63,5.006906e-14,5F.4D
3,0,8,2,13.393320,50,7.263934e-14,3S.8D
3,1,5,4,13.061780,63,1.432905e-12,3P.5G
7,6,9,8,13.500000,47,2.056248e-13,7I.9K
3,2,5,2,13.061780,63,1.743176e-12,3D.5D
8,7,9,8,13.500000,47,7.163124e-12,8J.9K
10,3,9,4,13.500000,47,3.158719e-13,:F.9G
3,1,6,5,13.228975,58,1.124314e-13,3P.6H
9,3,5,2,13.500000,47,2.371280e-15,9F.5D
8,3,5,2,13.393320,50,5.440950e-15,8F.5D
1,0,7,5,13.328199,55,1.196841e-15,1S.7H
2,1,6,5,13.228975,58,2.033565e-14,2P.6H
9,7,9,8,13.500000,47,1.034425e-09,9J.9K
2,1,5,4,13.061780,63,3.449949e-13,2P.5G
2,0,8,2,13.393320,50,1.392581e-14,2S.8D
9,6,7,4,13.500000,47,3.220325e-14,9I.7G
10,7,6,4,13.500000,47,7.107118e-15,:J.6G
4,3,4,2,12.755506,70,7.675576e-08,4F.4D
7,3,8,4,13.393320,50,1.354497e-11,7F.8G
2,1,9,8,13.500000,47,1.594761e-17,2P.9K
10,6,7,5,13.500000,47,4.343239e-14,:I.7H
9,7,6,5,13.500000,47,2.325635e-14,9J.6H
4,3,8,5,13.393320,50,2.260668e-12,4F.8H
8,3,9,5,13.500000,47,1.076709e-12,8F.9H
2,0,7,4,13.328199,55,4.889294e-14,2S.7G
9,6,8,2,13.500000,47,2.236586e-13,9I.8D
10,7,9,2,13.500000,47,2.853488e-13,:J.9D
7,3,7,2,13.328199,55,1.667569e-06,7F.7D
9,7,5,4,13.500000,47,3.234327e-15,9J.5G
6,3,4,1,13.228975,58,4.522457e-15,6F.4P
7,3,8,6,13.393320,50,1.261527e-11,7F.8I
8,7,6,0,13.393320,50,2.065489e-14,8J.6S
9,6,7,6,13.500000,47,3.407944e-14,9I.7I
5,3,8,0,13.393320,50,3.340738e-12,5F.8S
4,3,2,0,12.755506,70,1.380540e-16,4F.2S
2,0,8,7,13.393320,50,4.390844e-15,2S.8J
3,0,4,0,12.755506,70,5.396145e-12,3S.4S
2,1,3,1,12.094089,78,2.480211e-11,2P.3P
3,2,9,0,13.500000,47,2.399282e-15,3D.9S
1,0,2,1,10.204389,96,9.210131e-13,1S.2P
3,1,9,1,13.500000,47,1.762498e-15,3P.9P
10,7,5,3,13.500000,47,1.928555e-15,:J.5F
9,6,4,3,13.500000,47,7.837992e-16,9I.4F
7,6,6,0,13.328199,55,3.928797e-14,7I.6S
10,3,5,1,13.500000,47,1.087630e-15,:F.5P
1,0,7,3,13.328199,55,1.519154e-15,1S.7F
2,1,6,3,13.228975,58,2.870290e-14,2P.6F
8,3,3,0,13.393320,50,1.476309e-16,8F.3S
9,3,9,0,13.500000,47,2.274110e-12,9F.9S
7,3,1,0,13.328199,55,1.803662e-19,7F.1S
8,7,9,1,13.500000,47,1.268248e-13,8J.9P
9,7,3,1,13.500000,47,5.662172e-17,9J.3P
10,6,2,1,13.500000,47,2.298472e-18,:I.2P
8,6,4,0,13.393320,50,8.356044e-16,8I.4S
9,6,8,7,13.500000,47,1.050386e-13,9I.8J
10,7,9,7,13.500000,47,3.906395e-13,:J.9J
5,3,7,1,13.328199,55,1.131314e-11,5F.7P
8,3,9,3,13.500000,47,2.805884e-13,8F.9F
2,0,7,6,13.328199,55,2.208303e-14,2S.7I
3,1,6,0,13.228975,58,1.154557e-13,3P.6S
3,2,6,1,13.228975,58,1.859388e-13,3D.6P
4,3,8,3,13.393320,50,2.476010e-12,4F.8F
10,6,7,3,13.500000,47,1.538475e-14,:I.7F
9,7,6,3,13.500000,47,9.403350e-15,9J.6F
7,6,9,1,13.500000,47,7.062314e-14,7I.9P
2,0,4,3,12.755506,70,4.105215e-13,2S.4F
9,3,6,1,13.500000,47,6.673074e-15,9F.6P
7,6,9,7,13.500000,47,1.476309e-13,7I.9J
3,1,5,3,13.061780,63,1.227924e-12,3P.5F
6,3,8,3,13.393320,50,6.493856e-12,6F.8F
8,6,7,3,13.393320,50,1.881790e-13,8I.7F
10,3,9,3,13.500000,47,6.555462e-13,:F.9F
2,0,7,0,13.328199,55,1.563958e-13,2S.7S
8,6,2,1,13.393320,50,7.462754e-18,8I.2P
9,6,8,1,13.500000,47,1.433465e-13,9I.8P
10,7,9,1,13.500000,47,1.906713e-13,:J.9P
5,3,1,0,13.061780,63,6.835491e-19,5F.1S
7,3,7,1,13.328199,55,1.050666e-09,7F.7P
8,7,9,7,13.500000,47,2.706193e-13,8J.9J
9,7,5,0,13.500000,47,2.468729e-15,9J.5S
10,6,4,0,13.500000,47,3.295933e-16,:I.4S
3,0,7,3,13.328199,55,4.245229e-13,3S.7F
8,3,5,1,13.393320,50,3.547959e-15,8F.5P
9,3,9,6,13.500000,47,5.631369e-13,9F.9I
10,3,3,0,13.500000,47,5.860992e-17,:F.3S
8,7,5,3,13.393320,50,4.651270e-15,8J.5F
2,1,5,0,13.061780,63,3.869991e-13,2P.5S
1,0,4,0,12.755506,70,1.294571e-13,1S.4S
3,2,9,6,13.500000,47,7.216329e-16,3D.9I
3,1,9,7,13.500000,47,2.561139e-16,3P.9J
7,6,5,3,13.328199,55,1.401262e-14,7I.5F
2,0,8,1,13.393320,50,3.539558e-14,2S.8P
3,0,2,1,12.094089,78,2.406283e-16,3S.2P
9,6,7,0,13.500000,47,3.080311e-14,9I.7S
10,7,6,0,13.500000,47,6.603067e-15,:J.6S
5,3,8,6,13.393320,50,5.183324e-12,5F.8I
4,3,4,1,12.755506,70,1.950117e-09,4F.4P
6,3,2,0,13.228975,58,3.127916e-17,6F.2S
7,3,8,0,13.393320,50,9.798190e-12,7F.8S
8,7,9,2,13.500000,47,1.360097e-13,8J.9D
9,7,3,2,13.500000,47,5.617368e-17,9J.3D
5,3,7,2,13.328199,55,1.299611e-11,5F.7D
3,1,6,4,13.228975,58,1.170798e-13,3P.6G
10,3,9,5,13.500000,47,9.899000e-14,:F.9H
3,2,6,2,13.228975,58,2.399562e-13,3D.6D
8,6,7,5,13.393320,50,2.169379e-12,8I.7H
6,3,8,5,13.393320,50,8.160025e-12,6F.8H
7,6,9,2,13.500000,47,7.034311e-14,7I.9D
9,3,6,2,13.500000,47,1.379139e-14,9F.6D
6,3,4,2,13.228975,58,5.776984e-15,6F.4D
8,7,6,4,13.393320,50,4.539259e-14,8J.6G
5,3,8,4,13.393320,50,5.678974e-12,5F.8G
2,1,3,2,12.094089,78,1.319493e-11,2P.3D
3,2,9,4,13.500000,47,1.553317e-15,3D.9G
3,1,9,2,13.500000,47,1.133555e-15,3P.9D
7,6,6,4,13.328199,55,1.955438e-13,7I.6G
10,3,5,2,13.500000,47,1.303252e-15,:F.5D
3,0,7,5,13.328199,55,2.279710e-13,3S.7H
9,3,9,4,13.500000,47,2.912294e-09,9F.9G
2,0,7,5,13.328199,55,3.998804e-14,2S.7H
8,3,9,4,13.500000,47,1.760818e-12,8F.9G
10,7,9,8,13.500000,47,1.607922e-13,:J.9K
3,1,3,2,12.094089,78,4.088413e-08,3P.3D
1,0,8,2,13.393320,50,1.215603e-15,1S.8D
2,1,9,2,13.500000,47,2.659149e-16,2P.9D
4,3,8,4,13.393320,50,2.873090e-12,4F.8G
7,3,4,2,13.328199,55,1.885150e-15,7F.4D
10,6,7,4,13.500000,47,1.682690e-14,:I.7G
9,7,6,4,13.500000,47,1.103311e-14,9J.6G
8,3,6,2,13.393320,50,4.500055e-14,8F.6D
7,6,3,2,13.328199,55,2.744277e-16,7I.3D
7,3,8,5,13.393320,50,1.124594e-11,7F.8H
9,6,7,5,13.500000,47,1.801982e-13,9I.7H
10,7,6,5,13.500000,47,1.011462e-14,:J.6H
1,0,7,4,13.328199,55,9.890599e-16,1S.7G
2,1,6,4,13.228975,58,2.461169e-14,2P.6G
10,7,5,4,13.500000,47,2.446327e-15,:J.5G
4,3,7,2,13.328199,55,7.311539e-12,4F.7D
10,6,8,2,13.500000,47,4.292834e-14,:I.8D
9,7,9,2,13.500000,47,1.081749e-12,9J.9D
8,7,3,2,13.393320,50,1.234365e-16,8J.3D
7,3,2,0,13.328199,55,1.654407e-17,7F.2S
10,6,7,6,13.500000,47,1.723574e-14,:I.7I
6,3,8,0,13.393320,50,5.505356e-12,6F.8S
4,3,8,6,13.393320,50,3.080311e-12,4F.8I
8,6,7,0,13.393320,50,8.048013e-14,8I.7S
5,3,4,1,13.061780,63,1.711253e-14,5F.4P
3,0,8,1,13.393320,50,2.206343e-13,3S.8P
2,0,2,1,10.204389,96,2.544897e-09,2S.2P
3,1,5,0,13.061780,63,1.628645e-12,3P.5S
1,0,8,7,13.393320,50,4.460851e-16,1S.8J
3,2,5,1,13.061780,63,2.140536e-12,3D.5P
2,1,9,7,13.500000,47,2.738397e-17,2P.9J
9,7,5,3,13.500000,47,2.808684e-15,9J.5F
10,6,4,3,13.500000,47,5.326138e-16,:I.4F
10,3,9,0,13.500000,47,1.595881e-12,:F.9S
9,3,5,1,13.500000,47,2.348037e-15,9F.5P
2,0,7,3,13.328199,55,5.821788e-14,2S.7F
8,3,9,6,13.500000,47,3.379942e-13,8F.9I
10,6,8,7,13.500000,47,4.922897e-14,:I.8J
9,7,9,7,13.500000,47,1.567878e-11,9J.9J
6,3,7,1,13.328199,55,1.863588e-11,6F.7P
8,7,5,0,13.393320,50,4.721277e-15,8J.5S
10,7,3,1,13.500000,47,3.735577e-17,:J.3P
